Container, 0, 0, 0, 2.7e-05, 2.7e-05, 0
Link, 0, MPI_LINK, 0.000008, 0.000015, 0.000007, PTP, rank-4, rank-8, 5_9_0_9
Link, 0, MPI_LINK, 0.000010, 0.000015, 0.000005, PTP, rank-2, rank-10, 3_11_0_27
Link, 0, MPI_LINK, 0.000010, 0.000015, 0.000005, PTP, rank-11, rank-7, 12_8_0_32
Link, 0, MPI_LINK, 0.000010, 0.000015, 0.000005, PTP, rank-2, rank-11, 3_12_0_33
Link, 0, MPI_LINK, 0.000008, 0.000015, 0.000007, PTP, rank-5, rank-11, 6_12_0_8
Link, 0, MPI_LINK, 0.000010, 0.000015, 0.000005, PTP, rank-9, rank-1, 10_2_0_34
Link, 0, MPI_LINK, 0.000008, 0.000015, 0.000007, PTP, rank-3, rank-1, 4_2_0_7
Link, 0, MPI_LINK, 0.000010, 0.000015, 0.000005, PTP, rank-10, rank-4, 11_5_0_35
Link, 0, MPI_LINK, 0.000006, 0.000015, 0.000009, PTP, rank-0, rank-4, 1_5_0_2
Link, 0, MPI_LINK, 0.000010, 0.000015, 0.000005, PTP, rank-7, rank-3, 8_4_0_36
Link, 0, MPI_LINK, 0.000010, 0.000015, 0.000005, PTP, rank-10, rank-3, 11_4_0_31
Link, 0, MPI_LINK, 0.000010, 0.000015, 0.000005, PTP, rank-1, rank-7, 2_8_0_20
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-9, rank-2, 10_3_5_58
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-2, rank-9, 3_10_3_57
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-9, rank-2, 10_3_8_64
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-2, rank-9, 3_10_6_63
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-11, rank-8, 12_9_2_89
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-8, rank-11, 9_12_1_79
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-1, rank-6, 2_7_9_90
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-6, rank-1, 7_2_4_71
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-11, rank-8, 12_9_5_95
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-8, rank-11, 9_12_4_82
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-1, rank-6, 2_7_3_96
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-6, rank-1, 7_2_11_74
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-10, rank-5, 11_6_8_103
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-5, rank-10, 6_11_0_47
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-10, rank-5, 11_6_2_106
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-5, rank-10, 6_11_7_50
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-3, rank-0, 4_1_7_119
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-0, rank-3, 1_4_6_39
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-3, rank-0, 4_1_10_122
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-0, rank-3, 1_4_9_42
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-7, rank-4, 8_5_11_127
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-4, rank-7, 5_8_10_111
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-7, rank-4, 8_5_1_130
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-4, rank-7, 5_8_0_114
Link, 0, MPI_LINK, 0.000015, 0.000018, 0.000003, PTP, rank-0, rank-5, 1_6_3_38
